Rank,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance
1,ToolACE-2-8B (FC),94.25%,96.50%,92.00%,88.50%,91.50%,75.00%
2,Gemma-4-31B-it(FC) LoRA ckpt450-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,94.00%,94.50%,93.50%,93.00%,88.00%,55.00%
3,Qwen3-8B (Prompt),93.62%,94.25%,93.00%,93.00%,94.00%,78.75%
4,Gemma-4-31B-it(FC) LoRA ckpt270-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,93.00%,93.50%,92.50%,92.50%,87.00%,60.00%
5,Gemma-4-31B-it(FC) LoRA ckpt180-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,93.00%,93.50%,92.50%,91.00%,85.50%,67.92%
6,Qwen3-8B (FC),92.62%,91.75%,93.50%,93.00%,94.50%,76.25%
7,Gemma-4-31B-it(FC) LoRA ckpt360-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,92.50%,94.00%,91.00%,92.50%,87.00%,48.33%
8,Gemma-4-31B-it(FC) LoRA ckpt360-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,92.38%,91.75%,93.00%,88.00%,84.00%,62.92%
9,BitAgent-8B,92.25%,93.00%,91.50%,87.00%,86.50%,79.58%
10,Gemma-4-31B-it(FC) LoRA ckpt450-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,92.00%,91.50%,92.50%,89.00%,83.50%,61.25%
11,watt-tool-8B (FC),91.88%,92.25%,91.50%,88.00%,86.50%,80.42%
12,Gemma-4-31B-it(FC) LoRA ckpt80-5epoch-zhtw-v6-no-cot-lr5e-7,91.75%,91.00%,92.50%,88.00%,83.50%,64.17%
13,Gemma-4-31B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-no-cot-only-miss-turn-lr5e-7,91.75%,91.00%,92.50%,88.50%,83.00%,60.83%
14,Gemma-4-31B-it(FC) LoRA ckpt270-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,91.62%,91.25%,92.00%,87.50%,83.50%,62.50%
15,Gemma-4-31B-it(FC) LoRA ckpt320-5epoch-zhtw-v6-no-cot-lr5e-7,91.50%,91.00%,92.00%,88.00%,82.50%,57.92%
16,Llama-3.1-8B-Instruct (Prompt),91.50%,93.00%,90.00%,83.50%,86.00%,49.58%
17,Gemma-4-31B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-no-cot-only-miss-turn-lr5e-7,91.50%,91.00%,92.00%,87.50%,83.50%,64.58%
18,Gemma-4-31B-it(FC) LoRA ckpt240-5epoch-zhtw-v6-no-cot-lr5e-7,91.38%,90.75%,92.00%,87.00%,84.00%,63.33%
19,Gemma-4-31B-it(FC) LoRA ckpt90-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-6,91.25%,92.00%,90.50%,89.50%,84.00%,58.75%
20,Gemma-4-31B-it(FC) LoRA ckpt160-5epoch-zhtw-v6-no-cot-lr5e-7,91.25%,91.00%,91.50%,87.50%,83.00%,62.92%
21,Gemma-4-31B-it(FC) LoRA ckpt90-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,91.25%,91.00%,91.50%,88.00%,83.00%,64.17%
22,Gemma-4-31B-it(FC) LoRA ckpt180-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,91.12%,90.75%,91.50%,88.00%,83.50%,64.17%
23,Gemma-4-31B-it(FC) LoRA ckpt80-5epoch-zhtw-v6-no-cot-only-miss-turn-lr5e-7,91.12%,91.25%,91.00%,87.50%,83.50%,65.00%
24,Qwen/Qwen2.5-7B-Instruct,91.00%,93.50%,88.50%,88.50%,90.00%,61.67%
25,Gemma-4-31B-it(FC),90.62%,90.75%,90.50%,87.50%,82.00%,64.17%
26,xLAM-2-8b-fc-r (FC),90.12%,92.25%,88.00%,85.50%,85.00%,50.83%
27,gpt-oss-20b LoRA ckpt280-5epoch-v6data-simple-cot-only-answer-loss-C-method-64-128-256-lr5e-7,87.62%,87.75%,87.50%,0.00%,0.00%,82.50%
