Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,77.37%,BitAgent-Bounty-8B,https://huggingface.co/BitAgent/BitAgent-Bounty-8B,N/A,N/A,N/A,N/A,81.02%,71.58%,93.00%,82.00%,77.50%,92.67%,89.92%,93.73%,68.75%,91.67%,57.88%,75.50%,41.00%,60.00%,55.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,97.43%,N/A,N/A,Bittensor,Apache-2.0
2,70.96%,xLAM-2-8b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-8b-fc-r,N/A,N/A,N/A,N/A,84.48%,73.42%,93.50%,87.00%,84.00%,67.73%,74.81%,66.57%,50.00%,54.17%,69.75%,77.50%,69.50%,64.50%,67.50%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%,87.50%,63.11%,N/A,N/A,Salesforce,cc-by-nc-4.0
3,66.55%,ToolACE-2-8B (FC),https://huggingface.co/Team-ACE/ToolACE-2-8B,N/A,N/A,N/A,N/A,87.73%,74.42%,92.00%,92.50%,92.00%,77.20%,70.16%,79.30%,75.00%,62.50%,38.62%,48.50%,31.50%,29.50%,45.00%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%,75.00%,90.58%,34.5,11.9,Huawei Noah & USTC,Apache-2.0
4,64.78%,watt-tool-8B (FC),https://huggingface.co/watt-ai/watt-tool-8B/,N/A,N/A,N/A,N/A,87.33%,76.83%,95.00%,93.00%,84.50%,76.09%,78.29%,75.69%,87.50%,62.50%,37.88%,46.00%,39.50%,24.50%,41.50%,0.00%,0.00%,0.00%,10.75%,0.65%,14.19%,17.42%,75.00%,84.73%,39.0,15.26,Watt AI Lab,Apache-2.0
5,64.71%,BitAgent-8B,https://huggingface.co/BitAgent/BitAgent-8B/,N/A,N/A,N/A,N/A,87.69%,76.25%,95.00%,93.50%,86.00%,76.17%,78.29%,75.78%,87.50%,62.50%,37.75%,46.00%,37.50%,24.50%,43.00%,0.00%,0.00%,0.00%,10.97%,1.94%,18.71%,12.26%,75.00%,84.18%,39.0,15.22,Bittensor,Apache-2.0
6,64.67%,Qwen3-8B (FC),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,87.71%,74.83%,95.00%,92.00%,89.00%,80.68%,84.88%,79.77%,75.00%,79.17%,37.88%,41.50%,43.50%,34.50%,32.00%,5.00%,6.00%,4.00%,20.65%,2.58%,17.42%,41.94%,87.50%,79.22%,N/A,N/A,Qwen,apache-2.0
7,61.46%,Qwen3-8B (Prompt),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,89.10%,78.42%,95.00%,92.50%,90.50%,79.64%,82.95%,78.82%,87.50%,75.00%,28.00%,33.00%,36.00%,23.50%,19.50%,2.00%,1.00%,3.00%,13.98%,6.45%,11.61%,23.87%,75.00%,82.55%,20.0,5.32,Qwen,apache-2.0
8,51.70%,gpt-oss-20b LoRA ckpt50-1epoch-all-zhtw-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,9.02,5.71,29.83,12.15,33.25%,47.50%,85.50%,0.00%,0.00%,68.99%,77.13%,69.61%,0.00%,0.00%,34.62%,37.00%,35.00%,38.50%,28.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,87.02%,N/A,N/A,OpenAI,apache-2.0
9,51.60%,openai/gpt-oss-20b (FC) (vLLM),https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,32.21%,45.33%,83.50%,0.00%,0.00%,70.10%,75.58%,71.42%,0.00%,0.00%,34.00%,37.50%,34.50%,34.50%,29.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,87.69%,N/A,N/A,OpenAI,apache-2.0
10,51.09%,Qwen/Qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,N/A,N/A,N/A,N/A,84.75%,68.50%,94.50%,91.00%,85.00%,72.39%,70.16%,73.50%,56.25%,58.33%,14.62%,21.00%,12.50%,15.00%,10.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,69.04%,N/A,N/A,Qwen,apache-2.0
11,50.25%,CoALM-8B,https://huggingface.co/uiuc-convai/CoALM-8B,N/A,N/A,N/A,N/A,85.04%,70.17%,93.50%,88.00%,88.50%,66.54%,70.54%,65.91%,62.50%,54.17%,6.38%,7.00%,8.50%,5.50%,4.50%,0.00%,0.00%,0.00%,1.51%,2.58%,1.94%,0.00%,87.50%,86.91%,36.5,15.89,UIUC + Oumi,Meta Llama 3 Community
12,49.76%,gpt-oss-20b LoRA ckpt100-1epoch-all-zhtw-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,10.52,6.39,32.59,13.61,32.54%,44.17%,86.00%,0.00%,0.00%,68.10%,74.03%,69.23%,0.00%,0.00%,30.25%,34.00%,32.00%,29.00%,26.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,87.67%,N/A,N/A,OpenAI,apache-2.0
13,48.74%,gpt-oss-20b LoRA ckpt149-1epoch-all-zhtw-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,9.82,6.18,30.48,13.19,31.25%,41.00%,84.00%,0.00%,0.00%,67.21%,73.26%,68.28%,0.00%,0.00%,28.88%,31.00%,31.50%,30.00%,23.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,87.47%,N/A,N/A,OpenAI,apache-2.0
14,46.98%,Ministral-8B-Instruct-2410 (FC),https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,N/A,N/A,N/A,N/A,84.27%,73.08%,92.00%,84.50%,87.50%,72.32%,75.97%,71.60%,62.50%,70.83%,11.37%,20.50%,6.50%,9.50%,9.00%,0.00%,0.00%,0.00%,8.39%,10.97%,6.45%,7.74%,81.25%,55.54%,1.0,0.29,Mistral AI,Mistral AI Research License
15,42.22%,Llama-3.1-8B-Instruct (Prompt),https://llama.meta.com/llama3,N/A,N/A,N/A,N/A,84.04%,71.67%,95.50%,86.00%,83.00%,70.54%,72.48%,70.85%,56.25%,45.83%,7.25%,8.50%,6.50%,6.50%,7.50%,0.00%,0.00%,0.00%,12.04%,9.68%,7.10%,19.35%,93.75%,42.04%,35.0,13.91,Meta,Meta Llama 3 Community
16,25.46%,gpt-oss-20b LoRA ckpt50-1epoch-all-zhtw-lr1e-5,https://huggingface.co/openai/gpt-oss-20b,25.55,21.81,96.97,73.67,9.29%,8.17%,29.00%,0.00%,0.00%,13.69%,22.87%,11.97%,0.00%,0.00%,4.25%,4.50%,5.50%,5.00%,2.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.25%,95.80%,N/A,N/A,OpenAI,apache-2.0
17,22.87%,gpt-oss-20b LoRA ckpt149-1epoch-all-zhtw-lr1e-5,https://huggingface.co/openai/gpt-oss-20b,5.39,7.87,45.27,15.76,5.50%,7.50%,14.50%,0.00%,0.00%,11.40%,13.18%,11.40%,0.00%,0.00%,0.25%,0.00%,1.00%,0.00%,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.50%,96.98%,N/A,N/A,OpenAI,apache-2.0
18,22.87%,Llama-3.1-8B-Instruct (FC),https://llama.meta.com/llama3,N/A,N/A,N/A,N/A,48.23%,55.42%,53.50%,49.50%,34.50%,48.56%,51.94%,48.15%,31.25%,41.67%,6.38%,6.00%,7.50%,6.00%,6.00%,1.00%,1.00%,1.00%,15.48%,4.52%,12.26%,29.68%,100.00%,4.81%,N/A,N/A,Meta,Meta Llama 3 Community
19,22.54%,gpt-oss-20b LoRA ckpt100-1epoch-all-zhtw-lr1e-5,https://huggingface.co/openai/gpt-oss-20b,5.51,7.38,40.68,16.36,4.96%,7.33%,12.50%,0.00%,0.00%,10.36%,10.47%,10.73%,0.00%,0.00%,0.62%,0.50%,0.00%,1.50%,0.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.75%,96.14%,N/A,N/A,OpenAI,apache-2.0
