Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,BitAgent-Bounty-8B,92.67%,92.67%,89.92%,93.73%,68.75%,91.67%,98.19%,75.00%
2,gpt-oss-20b LoRA ckpt420-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,81.01%,81.01%,85.66%,79.87%,0.00%,0.00%,77.83%,81.25%
3,Qwen3-8B (FC),80.68%,80.68%,84.88%,79.77%,75.00%,79.17%,77.60%,87.50%
4,gpt-oss-20b LoRA ckpt350-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,79.94%,79.94%,81.78%,79.49%,0.00%,0.00%,78.96%,81.25%
5,Gemma-4-26B-A4B-it(FC),79.79%,79.79%,82.95%,78.92%,93.75%,75.00%,50.57%,93.75%
6,Qwen3-8B (Prompt),79.64%,79.64%,82.95%,78.82%,87.50%,75.00%,77.60%,75.00%
7,gpt-oss-20b LoRA ckpt490-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,79.63%,79.63%,82.17%,79.01%,0.00%,0.00%,78.17%,75.00%
8,gpt-oss-20b LoRA ckpt640-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,79.48%,79.48%,84.50%,78.25%,0.00%,0.00%,79.75%,81.25%
9,gpt-oss-20b LoRA ckpt560-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,79.33%,79.33%,81.40%,78.82%,0.00%,0.00%,81.79%,81.25%
10,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,79.18%,79.18%,84.88%,77.78%,0.00%,0.00%,78.96%,81.25%
11,gpt-oss-20b LoRA ckpt400-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,79.10%,79.10%,86.05%,77.40%,0.00%,0.00%,80.43%,75.00%
12,gpt-oss-20b LoRA ckpt480-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,79.02%,79.02%,81.40%,78.44%,0.00%,0.00%,81.45%,81.25%
13,gpt-oss-20b LoRA ckpt690-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,78.95%,78.95%,82.95%,77.97%,0.00%,0.00%,81.00%,75.00%
14,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,78.95%,78.95%,81.40%,78.35%,0.00%,0.00%,79.98%,75.00%
15,gpt-oss-20b LoRA ckpt360-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,78.87%,78.87%,80.23%,78.54%,0.00%,0.00%,81.67%,81.25%
16,gpt-oss-20b LoRA ckpt450-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,78.87%,78.87%,82.17%,78.06%,0.00%,0.00%,80.09%,75.00%
17,gpt-oss-20b LoRA ckpt960-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.72%,78.72%,85.66%,77.02%,0.00%,0.00%,79.98%,68.75%
18,gpt-oss-20b LoRA ckpt480-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.72%,78.72%,84.88%,77.21%,0.00%,0.00%,77.94%,87.50%
19,gpt-oss-20b LoRA ckpt720-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.64%,78.64%,85.27%,77.02%,0.00%,0.00%,78.51%,87.50%
20,gpt-oss-20b LoRA ckpt1290-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.64%,78.64%,84.50%,77.21%,0.00%,0.00%,78.28%,75.00%
21,gpt-oss-20b LoRA ckpt1120-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.57%,78.57%,84.88%,77.02%,0.00%,0.00%,79.64%,75.00%
22,gpt-oss-20b LoRA ckpt640-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,78.49%,78.49%,80.62%,77.97%,0.00%,0.00%,82.58%,81.25%
23,gpt-oss-20b LoRA ckpt880-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.41%,78.41%,84.11%,77.02%,0.00%,0.00%,78.39%,68.75%
24,gpt-oss-20b LoRA ckpt400-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,78.34%,78.34%,81.78%,77.49%,0.00%,0.00%,81.67%,87.50%
25,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,78.34%,78.34%,82.56%,77.30%,0.00%,0.00%,80.43%,62.50%
26,gpt-oss-20b LoRA ckpt540-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,78.26%,78.26%,80.62%,77.68%,0.00%,0.00%,78.73%,75.00%
27,gpt-oss-20b LoRA ckpt320-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.18%,78.18%,84.50%,76.64%,0.00%,0.00%,79.30%,87.50%
28,gpt-oss-20b LoRA ckpt1040-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,78.03%,78.03%,83.72%,76.64%,0.00%,0.00%,81.22%,75.00%
29,gpt-oss-20b LoRA ckpt240-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,77.88%,77.88%,81.40%,77.02%,0.00%,0.00%,82.47%,75.00%
30,gpt-oss-20b LoRA ckpt270-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,77.73%,77.73%,81.78%,76.73%,0.00%,0.00%,81.79%,75.00%
31,gpt-oss-20b LoRA ckpt800-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,77.65%,77.65%,83.72%,76.16%,0.00%,0.00%,79.41%,87.50%
32,gpt-oss-20b LoRA ckpt160-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,77.65%,77.65%,83.72%,76.16%,0.00%,0.00%,80.54%,87.50%
33,Gemma-4-26B-A4B-it(FC) LoRA ckpt240-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,77.57%,77.57%,78.68%,77.21%,93.75%,70.83%,52.94%,93.75%
34,Gemma-4-26B-A4B-it(FC) LoRA ckpt80-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,77.50%,77.50%,79.07%,77.02%,93.75%,70.83%,51.70%,93.75%
35,gpt-oss-20b LoRA ckpt320-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,77.27%,77.27%,82.17%,76.07%,0.00%,0.00%,81.56%,75.00%
36,Gemma-4-26B-A4B-it(FC) LoRA ckpt160-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,77.20%,77.20%,78.29%,76.83%,93.75%,70.83%,51.81%,93.75%
37,ToolACE-2-8B (FC),77.20%,77.20%,70.16%,79.30%,75.00%,62.50%,84.50%,75.00%
38,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,77.19%,77.19%,77.13%,77.21%,0.00%,0.00%,80.77%,81.25%
39,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,77.12%,77.12%,81.78%,75.97%,0.00%,0.00%,83.03%,87.50%
40,gpt-oss-20b LoRA ckpt240-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,76.74%,76.74%,82.56%,75.31%,0.00%,0.00%,80.77%,93.75%
41,gpt-oss-20b LoRA ckpt630-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,76.74%,76.74%,72.87%,77.68%,0.00%,0.00%,81.11%,81.25%
42,gpt-oss-20b LoRA ckpt160-5epoch-all-zhtw-turn-simple-thinking-test-lr5e-7,76.66%,76.66%,81.78%,75.40%,0.00%,0.00%,80.54%,87.50%
43,gpt-oss-20b LoRA ckpt210-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,76.58%,76.58%,80.62%,75.59%,0.00%,0.00%,82.13%,68.75%
44,Mistral-Small-3.2-24B-Instruct-2506,76.54%,76.54%,69.38%,78.35%,75.00%,75.00%,87.67%,87.50%
45,gpt-oss-20b LoRA ckpt160-5epoch-all-zhtw-turn-simple-thinking-test-v51-lr5e-7,76.51%,76.51%,81.78%,75.21%,0.00%,0.00%,79.64%,81.25%
46,BitAgent-8B,76.17%,76.17%,78.29%,75.78%,87.50%,62.50%,75.45%,75.00%
47,gpt-oss-20b LoRA ckpt630-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,76.13%,76.13%,77.13%,75.88%,0.00%,0.00%,80.09%,81.25%
48,watt-tool-8B (FC),76.09%,76.09%,78.29%,75.69%,87.50%,62.50%,76.13%,75.00%
49,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,75.90%,75.90%,81.01%,74.64%,0.00%,0.00%,82.13%,75.00%
50,gpt-oss-20b LoRA ckpt160-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,75.44%,75.44%,78.68%,74.64%,0.00%,0.00%,82.01%,75.00%
51,gpt-oss-20b LoRA ckpt180-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,75.29%,75.29%,77.91%,74.64%,0.00%,0.00%,82.47%,81.25%
52,gpt-oss-20b LoRA ckpt90-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,75.06%,75.06%,81.01%,73.60%,0.00%,0.00%,83.48%,81.25%
53,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-new-lenfiltered-augmentation-lr5e-7,74.22%,74.22%,80.23%,72.74%,0.00%,0.00%,83.14%,68.75%
54,gpt-oss-20b LoRA ckpt80-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,73.53%,73.53%,78.68%,72.27%,0.00%,0.00%,82.92%,68.75%
55,gpt-oss-20b LoRA ckpt70-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,73.38%,73.38%,76.74%,72.55%,0.00%,0.00%,83.71%,81.25%
