Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,77.69%,BitAgent-Bounty-8B,https://huggingface.co/BitAgent/BitAgent-Bounty-8B,N/A,N/A,N/A,N/A,82.29%,71.58%,93.00%,82.00%,77.50%,92.98%,89.92%,93.73%,68.75%,91.67%,57.88%,75.50%,41.00%,60.00%,55.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,97.43%,N/A,N/A,Bittensor,Apache-2.0
2,70.85%,xLAM-2-8b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-8b-fc-r,N/A,N/A,N/A,N/A,83.46%,73.42%,93.50%,87.00%,84.00%,68.19%,74.81%,66.57%,50.00%,54.17%,69.75%,77.50%,69.50%,64.50%,67.50%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%,87.50%,63.11%,N/A,N/A,Salesforce,cc-by-nc-4.0
3,67.26%,gpt-oss-20b LoRA ckpt240-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,78.58%,69.67%,87.50%,0.00%,0.00%,76.74%,82.56%,75.31%,0.00%,0.00%,48.62%,58.50%,43.50%,42.50%,50.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,83.72%,N/A,N/A,OpenAI,apache-2.0
4,67.25%,gpt-oss-20b LoRA ckpt400-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.25%,70.50%,90.00%,0.00%,0.00%,79.10%,86.05%,77.40%,0.00%,0.00%,46.88%,57.00%,39.50%,39.50%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,83.13%,N/A,N/A,OpenAI,apache-2.0
5,66.50%,gpt-oss-20b LoRA ckpt320-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,79.12%,68.75%,89.50%,0.00%,0.00%,78.18%,84.50%,76.64%,0.00%,0.00%,46.00%,54.00%,42.50%,39.50%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.19%,N/A,N/A,OpenAI,apache-2.0
6,66.15%,gpt-oss-20b LoRA ckpt480-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.62%,71.25%,90.00%,0.00%,0.00%,78.72%,84.88%,77.21%,0.00%,0.00%,44.88%,51.50%,39.50%,42.00%,46.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.68%,N/A,N/A,OpenAI,apache-2.0
7,65.95%,gpt-oss-20b LoRA ckpt720-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,81.92%,72.83%,91.00%,0.00%,0.00%,78.64%,85.27%,77.02%,0.00%,0.00%,43.62%,55.50%,35.00%,39.50%,44.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.96%,N/A,N/A,OpenAI,apache-2.0
8,65.92%,gpt-oss-20b LoRA ckpt360-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,78.21%,66.42%,90.00%,0.00%,0.00%,78.87%,80.23%,78.54%,0.00%,0.00%,44.38%,48.50%,44.50%,39.00%,45.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,83.75%,N/A,N/A,OpenAI,apache-2.0
9,65.90%,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.96%,71.92%,90.00%,0.00%,0.00%,79.18%,84.88%,77.78%,0.00%,0.00%,43.38%,53.50%,37.00%,39.50%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.60%,N/A,N/A,OpenAI,apache-2.0
10,65.84%,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,75.79%,61.08%,90.50%,0.00%,0.00%,78.95%,81.40%,78.35%,0.00%,0.00%,45.25%,48.50%,46.00%,42.50%,44.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,83.95%,N/A,N/A,OpenAI,apache-2.0
11,65.71%,ToolACE-2-8B (FC),https://huggingface.co/Team-ACE/ToolACE-2-8B,N/A,N/A,N/A,N/A,83.21%,74.42%,92.00%,92.50%,92.00%,77.50%,70.16%,79.30%,75.00%,62.50%,38.62%,48.50%,31.50%,29.50%,45.00%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%,75.00%,90.58%,34.5,11.9,Huawei Noah & USTC,Apache-2.0
12,65.42%,gpt-oss-20b LoRA ckpt450-5epoch-all-zhtw-split-turn-new-lenfiltered-fix-special-token-and-leak-lr5e-7,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,78.96%,66.92%,91.00%,0.00%,0.00%,78.87%,82.17%,78.06%,0.00%,0.00%,43.88%,51.50%,41.00%,42.00%,41.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,81.50%,N/A,N/A,OpenAI,apache-2.0
13,65.33%,gpt-oss-20b LoRA ckpt350-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,75.58%,61.67%,89.50%,0.00%,0.00%,79.94%,81.78%,79.49%,0.00%,0.00%,45.00%,50.50%,48.00%,40.00%,41.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,81.15%,N/A,N/A,OpenAI,apache-2.0
14,65.26%,gpt-oss-20b LoRA ckpt640-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.12%,69.75%,90.50%,0.00%,0.00%,79.48%,84.50%,78.25%,0.00%,0.00%,42.38%,52.00%,36.00%,38.50%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,81.96%,N/A,N/A,OpenAI,apache-2.0
15,65.18%,gpt-oss-20b LoRA ckpt160-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,76.54%,66.08%,87.00%,0.00%,0.00%,77.65%,83.72%,76.16%,0.00%,0.00%,43.62%,51.50%,36.50%,42.00%,44.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.44%,N/A,N/A,OpenAI,apache-2.0
16,64.88%,gpt-oss-20b LoRA ckpt800-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,81.42%,71.33%,91.50%,0.00%,0.00%,77.65%,83.72%,76.16%,0.00%,0.00%,41.25%,51.00%,31.50%,39.50%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.83%,N/A,N/A,OpenAI,apache-2.0
17,64.86%,gpt-oss-20b LoRA ckpt960-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,81.58%,72.67%,90.50%,0.00%,0.00%,78.72%,85.66%,77.02%,0.00%,0.00%,40.75%,51.50%,29.50%,40.50%,41.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75%,82.49%,N/A,N/A,OpenAI,apache-2.0
18,64.52%,watt-tool-8B (FC),https://huggingface.co/watt-ai/watt-tool-8B/,N/A,N/A,N/A,N/A,85.92%,76.83%,95.00%,93.00%,84.50%,76.20%,78.29%,75.69%,87.50%,62.50%,37.88%,46.00%,39.50%,24.50%,41.50%,0.00%,0.00%,0.00%,10.75%,0.65%,14.19%,17.42%,75.00%,84.73%,39.0,15.26,Watt AI Lab,Apache-2.0
19,64.50%,gpt-oss-20b LoRA ckpt1040-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,79.88%,69.75%,90.00%,0.00%,0.00%,78.03%,83.72%,76.64%,0.00%,0.00%,40.12%,49.50%,25.50%,37.00%,48.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,84.36%,N/A,N/A,OpenAI,apache-2.0
20,64.42%,gpt-oss-20b LoRA ckpt480-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,74.04%,58.58%,89.50%,0.00%,0.00%,79.02%,81.40%,78.44%,0.00%,0.00%,43.12%,48.50%,43.00%,41.00%,40.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.81%,N/A,N/A,OpenAI,apache-2.0
21,64.32%,BitAgent-8B,https://huggingface.co/BitAgent/BitAgent-8B/,N/A,N/A,N/A,N/A,85.62%,76.25%,95.00%,93.50%,86.00%,76.28%,78.29%,75.78%,87.50%,62.50%,37.75%,46.00%,37.50%,24.50%,43.00%,0.00%,0.00%,0.00%,10.97%,1.94%,18.71%,12.26%,75.00%,84.18%,39.0,15.22,Bittensor,Apache-2.0
22,64.31%,gpt-oss-20b LoRA ckpt1290-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.38%,71.75%,89.00%,0.00%,0.00%,78.64%,84.50%,77.21%,0.00%,0.00%,40.25%,51.50%,28.50%,39.00%,42.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,82.06%,N/A,N/A,OpenAI,apache-2.0
23,64.27%,gpt-oss-20b LoRA ckpt560-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,https://huggingface.co/openai/gpt-oss-20b,N/A,N/A,N/A,N/A,73.46%,56.42%,90.50%,0.00%,0.00%,79.33%,81.40%,78.82%,0.00%,0.00%,43.00%,51.00%,41.50%,41.50%,38.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.56%,N/A,N/A,OpenAI,apache-2.0
