Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,77.69%,BitAgent-Bounty-8B,https://huggingface.co/BitAgent/BitAgent-Bounty-8B,N/A,N/A,N/A,N/A,82.29%,71.58%,93.00%,82.00%,77.50%,92.98%,89.92%,93.73%,68.75%,91.67%,57.88%,75.50%,41.00%,60.00%,55.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,97.43%,N/A,N/A,Bittensor,Apache-2.0
2,70.85%,xLAM-2-8b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-8b-fc-r,N/A,N/A,N/A,N/A,83.46%,73.42%,93.50%,87.00%,84.00%,68.19%,74.81%,66.57%,50.00%,54.17%,69.75%,77.50%,69.50%,64.50%,67.50%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%,87.50%,63.11%,N/A,N/A,Salesforce,cc-by-nc-4.0
3,67.26%,gpt-oss-20b LoRA ckpt240-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,78.58%,69.67%,87.50%,0.00%,0.00%,76.74%,82.56%,75.31%,0.00%,0.00%,48.62%,58.50%,43.50%,42.50%,50.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,83.72%,N/A,N/A,OpenAI,apache-2.0
4,67.25%,gpt-oss-20b LoRA ckpt400-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.25%,70.50%,90.00%,0.00%,0.00%,79.10%,86.05%,77.40%,0.00%,0.00%,46.88%,57.00%,39.50%,39.50%,51.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,83.13%,N/A,N/A,OpenAI,apache-2.0
5,67.02%,gpt-oss-20b LoRA ckpt240-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.58%,70.67%,88.50%,0.00%,0.00%,77.88%,81.40%,77.02%,0.00%,0.00%,47.25%,57.50%,38.50%,43.50%,49.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.13%,N/A,N/A,OpenAI,apache-2.0
6,66.55%,gpt-oss-20b LoRA ckpt320-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.75%,68.50%,89.00%,0.00%,0.00%,77.73%,82.17%,76.64%,0.00%,0.00%,46.50%,54.00%,44.00%,42.00%,46.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,83.29%,N/A,N/A,OpenAI,apache-2.0
7,66.50%,gpt-oss-20b LoRA ckpt320-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,79.12%,68.75%,89.50%,0.00%,0.00%,78.18%,84.50%,76.64%,0.00%,0.00%,46.00%,54.00%,42.50%,39.50%,48.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.19%,N/A,N/A,OpenAI,apache-2.0
8,66.33%,gpt-oss-20b LoRA ckpt560-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,80.00%,69.50%,90.50%,0.00%,0.00%,77.88%,80.62%,77.21%,0.00%,0.00%,46.12%,55.50%,40.00%,44.00%,45.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.75%,81.53%,N/A,N/A,OpenAI,apache-2.0
9,66.15%,gpt-oss-20b LoRA ckpt480-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.62%,71.25%,90.00%,0.00%,0.00%,78.72%,84.88%,77.21%,0.00%,0.00%,44.88%,51.50%,39.50%,42.00%,46.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.68%,N/A,N/A,OpenAI,apache-2.0
10,65.95%,gpt-oss-20b LoRA ckpt720-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,81.92%,72.83%,91.00%,0.00%,0.00%,78.64%,85.27%,77.02%,0.00%,0.00%,43.62%,55.50%,35.00%,39.50%,44.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.96%,N/A,N/A,OpenAI,apache-2.0
11,65.90%,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.96%,71.92%,90.00%,0.00%,0.00%,79.18%,84.88%,77.78%,0.00%,0.00%,43.38%,53.50%,37.00%,39.50%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.60%,N/A,N/A,OpenAI,apache-2.0
12,65.89%,gpt-oss-20b LoRA ckpt480-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,79.88%,68.25%,91.50%,0.00%,0.00%,78.34%,83.72%,77.02%,0.00%,0.00%,44.62%,53.00%,39.50%,42.00%,44.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.00%,N/A,N/A,OpenAI,apache-2.0
13,65.71%,gpt-oss-20b LoRA ckpt160-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,78.21%,67.42%,89.00%,0.00%,0.00%,76.20%,80.62%,75.12%,0.00%,0.00%,44.75%,54.50%,39.50%,41.50%,43.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.65%,N/A,N/A,OpenAI,apache-2.0
14,65.71%,ToolACE-2-8B (FC),https://huggingface.co/Team-ACE/ToolACE-2-8B,N/A,N/A,N/A,N/A,83.21%,74.42%,92.00%,92.50%,92.00%,77.50%,70.16%,79.30%,75.00%,62.50%,38.62%,48.50%,31.50%,29.50%,45.00%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%,75.00%,90.58%,34.5,11.9,Huawei Noah & USTC,Apache-2.0
15,65.68%,gpt-oss-20b LoRA ckpt640-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.46%,69.92%,93.00%,0.00%,0.00%,78.87%,82.95%,77.87%,0.00%,0.00%,42.38%,52.50%,36.00%,38.00%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.00%,83.34%,N/A,N/A,OpenAI,apache-2.0
16,65.53%,gpt-oss-20b LoRA ckpt160-5epoch-v6-data-zhtw-cot-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,80.12%,71.75%,88.50%,0.00%,0.00%,78.64%,83.72%,77.40%,0.00%,0.00%,43.62%,57.00%,34.00%,39.00%,44.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,81.64%,N/A,N/A,OpenAI,apache-2.0
17,65.52%,gpt-oss-20b LoRA ckpt240-5epoch-v6-data-action-trace-64-128-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.58%,74.17%,89.00%,0.00%,0.00%,77.73%,82.56%,76.54%,0.00%,0.00%,42.88%,51.50%,36.50%,44.00%,39.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,82.55%,N/A,N/A,OpenAI,apache-2.0
18,65.29%,gpt-oss-20b LoRA ckpt720-5epoch-base-cot-have-series-only-answer-loss-16-64-256-lr5e-7,self,N/A,N/A,N/A,N/A,81.29%,70.58%,92.00%,0.00%,0.00%,77.35%,80.62%,76.54%,0.00%,0.00%,43.38%,55.50%,38.00%,38.50%,41.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,81.07%,N/A,N/A,OpenAI,apache-2.0
19,65.26%,gpt-oss-20b LoRA ckpt640-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,80.12%,69.75%,90.50%,0.00%,0.00%,79.48%,84.50%,78.25%,0.00%,0.00%,42.38%,52.00%,36.00%,38.50%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25%,81.96%,N/A,N/A,OpenAI,apache-2.0
20,65.18%,gpt-oss-20b LoRA ckpt160-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,76.54%,66.08%,87.00%,0.00%,0.00%,77.65%,83.72%,76.16%,0.00%,0.00%,43.62%,51.50%,36.50%,42.00%,44.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,84.44%,N/A,N/A,OpenAI,apache-2.0
21,64.88%,gpt-oss-20b LoRA ckpt800-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,81.42%,71.33%,91.50%,0.00%,0.00%,77.65%,83.72%,76.16%,0.00%,0.00%,41.25%,51.00%,31.50%,39.50%,43.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,82.83%,N/A,N/A,OpenAI,apache-2.0
22,64.86%,gpt-oss-20b LoRA ckpt960-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,self,N/A,N/A,N/A,N/A,81.58%,72.67%,90.50%,0.00%,0.00%,78.72%,85.66%,77.02%,0.00%,0.00%,40.75%,51.50%,29.50%,40.50%,41.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75%,82.49%,N/A,N/A,OpenAI,apache-2.0
23,64.83%,gpt-oss-20b LoRA ckpt80-5epoch-v6-data-zhtw-cot-64-256-256-lr5e-7,self,N/A,N/A,N/A,N/A,77.54%,69.08%,86.00%,0.00%,0.00%,77.42%,82.17%,76.26%,0.00%,0.00%,42.88%,54.50%,37.00%,40.00%,40.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.50%,83.46%,N/A,N/A,OpenAI,apache-2.0
