Rank,Model,Non-Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3-8B (Prompt),89.10%,89.10%,78.42%,96.25%,65.00%,74.00%,95.00%,92.50%,90.50%,87.50%
2,ToolACE-2-8B (FC),87.73%,87.73%,74.42%,85.25%,64.00%,74.00%,92.00%,92.50%,92.00%,96.67%
3,Qwen3-8B (FC),87.71%,87.71%,74.83%,96.50%,62.00%,66.00%,95.00%,92.00%,89.00%,80.83%
4,BitAgent-8B,87.69%,87.69%,76.25%,93.75%,65.00%,70.00%,95.00%,93.50%,86.00%,92.92%
5,watt-tool-8B (FC),87.33%,87.33%,76.83%,93.50%,65.00%,72.00%,95.00%,93.00%,84.50%,93.33%
6,CoALM-8B,85.04%,85.04%,70.17%,92.50%,60.00%,58.00%,93.50%,88.00%,88.50%,91.25%
7,Qwen/Qwen2.5-7B-Instruct,84.75%,84.75%,68.50%,96.50%,57.00%,52.00%,94.50%,91.00%,85.00%,66.25%
8,xLAM-2-8b-fc-r (FC),84.48%,84.48%,73.42%,92.25%,64.00%,64.00%,93.50%,87.00%,84.00%,62.08%
9,Ministral-8B-Instruct-2410 (FC),84.27%,84.27%,73.08%,93.25%,60.00%,66.00%,92.00%,84.50%,87.50%,57.92%
10,Llama-3.1-8B-Instruct (Prompt),84.04%,84.04%,71.67%,94.00%,57.00%,64.00%,95.50%,86.00%,83.00%,47.08%
11,BitAgent-Bounty-8B,81.02%,81.02%,71.58%,93.75%,61.00%,60.00%,93.00%,82.00%,77.50%,96.67%
12,gpt-oss-20b LoRA ckpt420-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,76.08%,76.08%,61.67%,90.00%,45.00%,50.00%,90.50%,0.00%,0.00%,83.75%
13,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,75.79%,75.79%,61.08%,90.25%,45.00%,48.00%,90.50%,0.00%,0.00%,87.92%
14,gpt-oss-20b LoRA ckpt350-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,75.58%,75.58%,61.67%,90.00%,45.00%,50.00%,89.50%,0.00%,0.00%,83.33%
15,gpt-oss-20b LoRA ckpt400-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,75.37%,75.37%,61.25%,88.75%,45.00%,50.00%,89.50%,0.00%,0.00%,85.42%
16,gpt-oss-20b LoRA ckpt480-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,74.04%,74.04%,58.58%,89.75%,46.00%,40.00%,89.50%,0.00%,0.00%,84.17%
17,gpt-oss-20b LoRA ckpt240-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,73.83%,73.83%,57.67%,88.00%,41.00%,44.00%,90.00%,0.00%,0.00%,87.92%
18,gpt-oss-20b LoRA ckpt560-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,73.46%,73.46%,56.42%,90.25%,37.00%,42.00%,90.50%,0.00%,0.00%,83.33%
19,gpt-oss-20b LoRA ckpt690-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,73.12%,73.12%,56.75%,89.25%,39.00%,42.00%,89.50%,0.00%,0.00%,85.00%
20,gpt-oss-20b LoRA ckpt210-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,72.08%,72.08%,56.67%,89.00%,39.00%,42.00%,87.50%,0.00%,0.00%,88.33%
21,gpt-oss-20b LoRA ckpt640-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,71.75%,71.75%,53.50%,89.50%,35.00%,36.00%,90.00%,0.00%,0.00%,83.33%
22,gpt-oss-20b LoRA ckpt490-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,71.42%,71.42%,53.83%,78.50%,37.00%,46.00%,89.00%,0.00%,0.00%,81.67%
23,gpt-oss-20b LoRA ckpt320-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,71.12%,71.12%,54.25%,88.75%,38.00%,36.00%,88.00%,0.00%,0.00%,85.83%
24,gpt-oss-20b LoRA ckpt160-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,70.50%,70.50%,54.50%,88.50%,35.00%,40.00%,86.50%,0.00%,0.00%,87.08%
25,gpt-oss-20b LoRA ckpt80-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,68.38%,68.38%,50.75%,86.25%,32.00%,34.00%,86.00%,0.00%,0.00%,90.42%
26,gpt-oss-20b LoRA ckpt70-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,68.12%,68.12%,50.25%,85.75%,31.00%,34.00%,86.00%,0.00%,0.00%,90.42%
27,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,67.83%,67.83%,50.67%,88.00%,32.00%,32.00%,85.00%,0.00%,0.00%,89.17%
